parameter,size,file,type,test_file,tokens_per_sample,tokens_per_surface_char,tokens_per_original_char,total_tokens,total_chars,total_original_chars,morph_score,valid_tokens,checked_tokens,invalid_tokens,skipped_punctuation_tokens,overlap,chars_per_token,bytes_per_token,chars_per_byte,bytes_per_original_char
2048_subset100k,16000,pinyin_diacritic_subset100k_superbpe_16000,diacritic,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/corpora/pinyin_diacritic_spaced_test10.txt,405.282338075977,0.2035609318758448,0.7058259446238754,54206918,266293328,76799271,0.9785756722912734,41857724,42774131,916407,9913701,0.0,4.91253400534596,6.007168383932102,0.8177786423443603,4.240015299103555
2048_subset100k,64000,pinyin_diacritic_subset100k_superbpe_64000,diacritic,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/corpora/pinyin_diacritic_spaced_test10.txt,343.0135774685797,0.1722852365268423,0.5973807876379451,45878409,266293328,76799271,0.9719301997564915,34730426,35733457,1003031,9047609,0.0,5.804327870218865,7.097676033185894,0.8177786423443603,4.240015299103555
baseline,16000,pinyin_toned_subset100k_superbpe_16000,toned,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/corpora/pinyin_toned_spaced_test10.txt,405.018,0.1678,0.7054,54171556,322861495,76799271,0.9803,41895779,42735534,839755,9785627,0.0,5.96,6.0108,0.9915,4.2398
baseline,64000,pinyin_toned_subset100k_superbpe_64000,toned,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/corpora/pinyin_toned_spaced_test10.txt,343.9132,0.1425,0.5989,45998734,322861495,76799271,0.9711,34907229,35947610,1040381,9305349,0.0,7.0189,7.0788,0.9915,4.2398
0.05,16000,pinyin_toned_subset100k_superbpe_16000,toned,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/corpora/pinyin_toned_spaced_test10.txt,404.57153965204,0.16760080975280128,0.7045880422484739,54111848,322861495,76799271,0.9807453839959049,41697205,42515831,818626,9562171,0.0,5.966558284980398,6.017445347643644,0.9915434109122118,4.2398200368334225
0.05,64000,pinyin_toned_subset100k_superbpe_64000,toned,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/corpora/pinyin_toned_spaced_test10.txt,343.0207774147483,0.1421023340054843,0.5973933268194694,45879372,322861495,76799271,0.9714015476858763,34788757,35812952,1024195,9125576,0.0,7.037182091332898,7.097200197073317,0.9915434109122118,4.2398200368334225
2048_subset100k,16000,pinyin_toned_subset100k_superbpe_16000,toned,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/corpora/pinyin_toned_spaced_test10.txt,405.299010848517,0.16790217737175503,0.7058549813578309,54209148,322861495,76799271,0.9784967351455878,41946564,42868374,921810,9917676,0.0,5.955848909486642,6.006644634960874,0.9915434109122118,4.2398200368334225
2048_subset100k,64000,pinyin_toned_subset100k_superbpe_64000,toned,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/corpora/pinyin_toned_spaced_test10.txt,343.02396991424365,0.1421036565540279,0.5973988867680788,45879799,322861495,76799271,0.9719394965452253,34782652,35786849,1004197,9049998,0.0,7.0371165967836955,7.097134143939907,0.9915434109122118,4.2398200368334225
baseline,16000,pinyin_toneless_subset100k_superbpe_16000,toneless,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/corpora/pinyin_toneless_spaced_test10.txt,380.615,0.1912,0.6629,50907638,266293328,76799271,0.9773,39128706,40035550,906844,9559358,0.0,5.2309,5.285,0.9898,3.5032
baseline,64000,pinyin_toneless_subset100k_superbpe_64000,toneless,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/corpora/pinyin_toneless_spaced_test10.txt,328.7561,0.1651,0.5726,43971452,266293328,76799271,0.9704,33049940,34058553,1008613,9173182,0.0,6.0561,6.1187,0.9898,3.5032
0.05,16000,pinyin_toneless_subset100k_superbpe_16000,toneless,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/corpora/pinyin_toneless_spaced_test10.txt,380.0621827126526,0.19089361863395993,0.6619033792651495,50833697,266293328,76799271,0.9804702318902342,39033872,39811379,777507,9363453,0.0,5.238519795245268,5.292688450340332,0.9897653799948151,3.5032483706778934
0.05,64000,pinyin_toneless_subset100k_superbpe_64000,toneless,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/corpora/pinyin_toneless_spaced_test10.txt,327.5713975970273,0.16452910153272784,0.5704872120465831,43813002,266293328,76799271,0.9706960712787409,32911427,33904976,993549,9022397,0.0,6.077952111110761,6.140800874589694,0.9897653799948151,3.5032483706778934
2048_subset100k,16000,pinyin_toneless_subset100k_superbpe_16000,toneless,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/corpora/pinyin_toneless_spaced_test10.txt,381.36079730245007,0.19154587305319193,0.6641650022953994,51007388,266293328,76799271,0.9764644641827617,39222193,40167558,945365,9642631,0.0,5.220681521665058,5.274665720973597,0.9897653799948151,3.5032483706778934
2048_subset100k,64000,pinyin_toneless_subset100k_superbpe_64000,toneless,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/corpora/pinyin_toneless_spaced_test10.txt,327.4896262457851,0.1644880302821556,0.5703448018406321,43802065,266293328,76799271,0.9711021840052746,32896674,33875605,978931,8960957,0.0,6.079469723630609,6.142334179906815,0.9897653799948151,3.5032483706778934
